,no2,city,pre_lockdown_model,dummy,lockdown_model,weekday,class,year
2016-01-02,46.53125,Opfikon_Balsberg,68.63269156685918,71.0504347826087,59.38004994029478,5,high traffic,2016
2016-01-03,44.02700000000001,Opfikon_Balsberg,58.99992256609883,70.66387263544524,56.40710791015682,6,high traffic,2016
2016-01-04,61.57608695652174,Opfikon_Balsberg,65.19212953152038,65.19212953152038,54.21568128240241,0,high traffic,2016
2016-01-05,53.31041666666666,Opfikon_Balsberg,59.015108429657595,56.15170521368098,48.618127363193054,1,high traffic,2016
2016-01-06,49.05625000000001,Opfikon_Balsberg,52.43056158862784,48.99549860737044,41.53741058111517,2,high traffic,2016
2016-01-07,47.31375,Opfikon_Balsberg,59.0288058778271,54.073522294641684,48.488738522686866,3,high traffic,2016
2016-01-08,52.07454545454546,Opfikon_Balsberg,62.32084580478214,56.84365591575847,48.66810040676837,4,high traffic,2016
2016-01-09,55.7875,Opfikon_Balsberg,57.003115205875254,60.7459349317503,49.075550089436376,5,high traffic,2016
2016-01-10,54.53291666666666,Opfikon_Balsberg,51.490425138158855,61.66979015661393,47.4130254313255,6,high traffic,2016
2016-01-11,53.79083333333333,Opfikon_Balsberg,62.24035337539071,62.24035337539071,51.26390512627274,0,high traffic,2016
2016-01-12,30.66454545454545,Opfikon_Balsberg,49.38291401045026,46.98686326082966,39.453285410341735,1,high traffic,2016
2016-01-13,40.85375,Opfikon_Balsberg,40.67536625035557,38.010461648494726,30.55237362223945,2,high traffic,2016
2016-01-14,62.42416666666666,Opfikon_Balsberg,47.88408479265575,43.86436567856753,38.27958190661271,3,high traffic,2016
2016-01-15,34.06083333333333,Opfikon_Balsberg,51.87880404535004,47.31933349737446,39.14377798838436,4,high traffic,2016
2016-01-16,48.19727272727273,Opfikon_Balsberg,33.203693310662175,35.38384500669168,23.713460164377757,5,high traffic,2016
2016-01-17,40.7975,Opfikon_Balsberg,35.732226092236736,42.796284532983336,28.53951980769491,6,high traffic,2016
2016-01-18,52.62875,Opfikon_Balsberg,32.38948444993816,32.38948444993816,21.413036200820187,0,high traffic,2016
2016-01-19,60.77652173913042,Opfikon_Balsberg,49.400398140929326,47.00349906421464,39.469921213726714,1,high traffic,2016
