,no2_2020,city,no2_2019,pre_lockdown_model,dummy,lockdown_model,weekday,class
3/16,38.37458333333333,Opfikon_Balsberg,,36.36033845875955,36.36033845875955,25.383890209641578,0,high traffic
3/17,29.481666666666666,Opfikon_Balsberg,,37.946755951158835,36.105585682770005,28.572007832282086,1,high traffic
3/18,24.459999999999994,Opfikon_Balsberg,36.61125,34.86726835888198,32.58288956971522,25.124801543459945,2,high traffic
3/19,31.156363636363636,Opfikon_Balsberg,32.1675,42.66789730572986,39.08606081244678,33.50127704049196,3,high traffic
3/20,27.58045454545454,Opfikon_Balsberg,28.043529411764702,40.02016232819473,36.50291178978416,28.327356280794056,4,high traffic
3/21,15.734166666666667,Opfikon_Balsberg,25.625416666666666,34.32767609946552,36.581628410396206,24.911243568082284,5,high traffic
3/22,8.22625,Opfikon_Balsberg,46.03416666666666,16.832975354056625,20.160759112218216,5.903994386929787,6,high traffic
3/23,12.507391304347825,Opfikon_Balsberg,48.64625,25.593337261284756,25.593337261284756,14.616889012166784,0,high traffic
3/24,17.540869565217385,Opfikon_Balsberg,42.17652173913044,31.696148889223355,30.15825703273961,22.62467918225169,1,high traffic
3/25,21.23708333333333,Opfikon_Balsberg,38.23260869565217,35.65502717130652,33.31903724060842,25.86094921435314,2,high traffic
3/26,22.16666666666667,Opfikon_Balsberg,20.295833333333334,35.092414534437204,32.146516120080946,26.561732348126128,3,high traffic
3/27,32.56583333333334,Opfikon_Balsberg,22.91666666666667,38.3617545967511,34.99025647779572,26.814700968805617,4,high traffic
3/28,21.46863636363636,Opfikon_Balsberg,19.80875,31.67496854912122,33.7547443065329,22.084359464218977,5,high traffic
3/29,20.245217391304344,Opfikon_Balsberg,36.60181818181818,29.612308300317192,35.46649370312068,21.209728977832256,6,high traffic
3/30,19.204999999999995,Opfikon_Balsberg,33.40958333333332,38.49469728694226,38.49469728694226,27.51824903782429,0,high traffic
3/31,19.350416666666664,Opfikon_Balsberg,36.42217391304347,25.347515813781296,24.117658575025033,16.584080724537113,1,high traffic
4/1,27.1590909090909,Opfikon_Balsberg,28.60458333333334,36.24543699019124,33.870765518590815,26.41267749233554,2,high traffic
4/2,32.26875,Opfikon_Balsberg,52.13045454545456,42.1852134642394,38.64389676938417,33.05911299742935,3,high traffic
4/3,27.26625,Opfikon_Balsberg,32.95375000000001,40.090115334246285,36.56671683855905,28.391161329568952,4,high traffic
4/4,16.30416666666667,Opfikon_Balsberg,55.76458333333333,18.32428575137337,19.52745680483438,7.8570719625204575,5,high traffic
4/5,14.147272727272725,Opfikon_Balsberg,22.19791666666667,29.456053634283233,35.279348375820504,21.022583650532077,6,high traffic
4/6,28.223749999999992,Opfikon_Balsberg,26.764545454545452,37.23461869724976,37.23461869724976,26.258170448131786,0,high traffic
4/7,23.00958333333333,Opfikon_Balsberg,28.23,30.35808755308984,28.88511820941695,21.351540358929032,1,high traffic
4/8,27.36086956521739,Opfikon_Balsberg,44.75583333333333,37.882086092554,35.4001872219998,27.942099195744525,2,high traffic
4/9,29.10954545454545,Opfikon_Balsberg,40.57625,32.94780977511858,30.18194422096059,24.597160449005774,3,high traffic
4/10,15.691250000000002,Opfikon_Balsberg,37.31499999999999,36.866750683685915,33.62664391879433,25.45108840980423,4,high traffic
4/11,17.95375,Opfikon_Balsberg,23.638333333333332,31.606784016625223,33.682082783396936,22.011697941083014,5,high traffic
4/12,15.774583333333332,Opfikon_Balsberg,25.217916666666664,28.50309445097615,34.13799456674478,19.881229841456353,6,high traffic
4/13,11.1,Opfikon_Balsberg,37.522083333333335,31.402284603294795,31.402284603294795,20.425836354176823,0,high traffic
4/14,15.144166666666665,Opfikon_Balsberg,45.57227272727273,24.805963337440048,23.602382134492885,16.068804284004965,1,high traffic
4/15,22.45458333333333,Opfikon_Balsberg,27.14375,36.28107663297215,33.9040701793713,26.445982153116027,2,high traffic
4/16,30.116666666666664,Opfikon_Balsberg,38.85083333333333,32.32125354997925,29.607985430754994,24.023201658800176,3,high traffic
4/17,28.242272727272724,Opfikon_Balsberg,25.125,36.08520832946769,32.91378894879065,24.738233439800553,4,high traffic
4/18,14.780000000000005,Opfikon_Balsberg,27.09272727272727,28.035153127500454,29.875938912006546,18.205554069692624,5,high traffic
4/19,8.247916666666669,Opfikon_Balsberg,26.00583333333333,17.89649205633405,21.434527034730422,7.177762309441993,6,high traffic
4/20,15.792083333333334,Opfikon_Balsberg,20.984166666666663,28.56209027122376,28.56209027122376,17.585642022105787,0,high traffic
4/21,19.57272727272727,Opfikon_Balsberg,18.562083333333334,32.53041265766776,30.952042462312807,23.418464611824888,1,high traffic
4/22,21.05416666666667,Opfikon_Balsberg,19.11409090909091,25.545901300691156,23.87222516177502,16.414137135519745,2,high traffic
4/23,23.082916666666666,Opfikon_Balsberg,36.83666666666667,38.31009100285656,35.09407871540314,29.509294943448324,3,high traffic
4/24,23.787499999999994,Opfikon_Balsberg,23.454285714285717,37.81538880188152,34.49190911349659,26.31635360450649,4,high traffic
4/25,18.788260869565214,Opfikon_Balsberg,,26.867548517996948,28.63166948254208,16.961284640228158,5,high traffic
3/16,44.80565217391304,StGallen_Blumenbergplatz,,42.961937407549755,42.961937407549755,38.585638948726256,0,low traffic
3/17,43.22208333333333,StGallen_Blumenbergplatz,,39.959404876627566,39.23867442765349,36.965157606599846,1,low traffic
3/18,39.88208333333335,StGallen_Blumenbergplatz,27.7091304347826,42.72724461585286,42.10652262023191,36.18506066268946,2,low traffic
3/19,43.18043478260869,StGallen_Blumenbergplatz,42.19521739130435,39.21391951478326,38.39769576455351,39.006914632161106,3,low traffic
3/20,38.90625,StGallen_Blumenbergplatz,45.11818181818182,33.64530620007706,32.40656628440576,28.865702315419362,4,low traffic
3/21,15.2625,StGallen_Blumenbergplatz,40.141666666666666,22.920322546056713,27.44263504276971,18.694561034747622,5,low traffic
3/22,8.249130434782609,StGallen_Blumenbergplatz,60.70166666666668,24.247275513357177,36.41756677112092,23.734660688278808,6,low traffic
3/23,18.521666666666665,StGallen_Blumenbergplatz,48.10166666666667,38.635467898465706,38.635467898465706,34.25916943964221,0,low traffic
3/24,28.02708333333333,StGallen_Blumenbergplatz,37.372727272727275,42.9970581964137,42.22153891242677,39.948022091373126,1,low traffic
3/25,29.80913043478261,StGallen_Blumenbergplatz,36.494761904761894,41.857503284991935,41.2494164962377,35.32795453869525,2,low traffic
3/26,34.2775,StGallen_Blumenbergplatz,32.065,51.59928515779007,50.52526443857102,51.134483306178616,3,low traffic
3/27,40.22541666666665,StGallen_Blumenbergplatz,35.583636363636366,55.15275990295607,53.12216684652938,49.58130287754298,4,low traffic
3/28,34.35478260869566,StGallen_Blumenbergplatz,42.885714285714286,38.02826804521307,45.53146576259448,36.78339175457239,5,low traffic
3/29,22.45695652173913,StGallen_Blumenbergplatz,39.09708333333333,20.713272900592706,31.10976317690809,18.42685709406598,6,low traffic
3/30,37.080416666666665,StGallen_Blumenbergplatz,41.337826086956504,36.653367268940414,36.653367268940414,32.277068810116916,0,low traffic
3/31,40.85869565217392,StGallen_Blumenbergplatz,32.12347826086957,51.04480992165935,50.12413683140139,47.85062001034774,1,low traffic
4/1,34.40375,StGallen_Blumenbergplatz,45.61958333333334,54.49968411339218,53.70793746584393,47.786475508301486,2,low traffic
4/2,48.82708333333332,StGallen_Blumenbergplatz,50.51565217391305,37.696207838359506,36.91157471542811,37.520793583035704,3,low traffic
4/3,34.00521739130434,StGallen_Blumenbergplatz,23.666500000000006,39.94981420104685,38.47895733975976,34.93809337077336,4,low traffic
4/4,29.022916666666664,StGallen_Blumenbergplatz,29.035416666666666,36.30719170834474,43.47081108818852,34.72273708016643,5,low traffic
4/5,25.65375,StGallen_Blumenbergplatz,30.53086956521739,26.02879942263275,39.09328041509925,26.410374332257142,6,low traffic
4/6,40.42260869565217,StGallen_Blumenbergplatz,33.85208333333333,39.0634590157038,39.0634590157038,34.6871605568803,0,low traffic
4/7,49.20500000000001,StGallen_Blumenbergplatz,23.21333333333333,34.47629427569716,33.854460313729945,31.580943492676298,1,low traffic
4/8,43.27958333333334,StGallen_Blumenbergplatz,29.06043478260869,33.27888166562732,32.79542119385476,26.873959236312313,2,low traffic
4/9,41.51521739130435,StGallen_Blumenbergplatz,32.11083333333334,39.39784001419327,38.57778802435805,39.187006891965645,3,low traffic
4/10,22.80875000000001,StGallen_Blumenbergplatz,37.59541666666666,37.386897431291736,36.010401051801416,32.469537082815016,4,low traffic
4/11,27.97666666666667,StGallen_Blumenbergplatz,35.41608695652174,27.020940836718893,32.35232909154341,23.604255083521323,5,low traffic
4/12,22.344090909090916,StGallen_Blumenbergplatz,32.432916666666664,20.362236058170026,30.582532493155224,17.89962641031311,6,low traffic
4/13,12.066666666666665,StGallen_Blumenbergplatz,27.7925,23.936581120420335,23.936581120420335,19.560282661596837,0,low traffic
4/14,20.487916666666663,StGallen_Blumenbergplatz,27.346956521739134,30.917006368154436,30.35936973794307,28.085852916889422,1,low traffic
4/15,34.10130434782609,StGallen_Blumenbergplatz,38.61708333333333,43.95553659604582,43.316970532640845,37.3955085750984,2,low traffic
4/16,40.549583333333345,StGallen_Blumenbergplatz,37.72625000000001,44.448766109967266,43.523580894710115,44.13279976231771,3,low traffic
4/17,32.80458333333333,StGallen_Blumenbergplatz,31.823913043478264,38.58239511234721,37.16188336001976,33.62101939103336,4,low traffic
4/18,20.95652173913044,StGallen_Blumenbergplatz,37.98666666666667,25.32288171448773,30.319233061642525,21.571159053620438,5,low traffic
4/19,15.215454545454545,StGallen_Blumenbergplatz,25.285,18.469984153651193,27.740513807689553,15.057607724847442,6,low traffic
4/20,27.316666666666666,StGallen_Blumenbergplatz,26.444782608695654,27.84643471859886,27.84643471859886,23.470136259775366,0,low traffic
4/21,31.067826086956515,StGallen_Blumenbergplatz,22.834999999999994,32.664796667689075,32.075635902141215,29.802119081087568,1,low traffic
4/22,29.662916666666664,StGallen_Blumenbergplatz,17.585833333333333,37.590242782253284,37.0441488151497,31.122686857607253,2,low traffic
4/23,36.48125,StGallen_Blumenbergplatz,21.69913043478261,33.57313326370175,32.87432046767073,33.48353933527832,3,low traffic
